OMEGA_CONF,ATE_hat,|ATE_err|,sqrt_PEHE,sqrt_PEHE_CIhalf,ITE_R2
0.0,4.048309317100084,0.04434172279954485,1.4888877492875872,0.1332796251126922,-2.5794054049348856
0.05,4.047887775950061,0.04392018164952205,1.4733856797576939,0.1264412815815512,-2.5052570022159033
0.1,4.047545838586091,0.043578244285551904,1.4605366937552984,0.12079764010119476,-2.444386841069085
0.15000000000000002,4.0472711527004295,0.04330355839989064,1.4498970660971284,0.11611716010902984,-2.394386711970797
0.2,4.0470546036745505,0.043087009374011664,1.4411376254446033,0.11222942442735451,-2.3534967549435555
0.25,4.046889606355575,0.042922012055035985,1.4340129671562556,0.10900792253253688,-2.320420859307908
0.30000000000000004,4.0467716300977115,0.042804035797172624,1.4283408506368693,0.1063586175578608,-2.2942055228194613
0.35000000000000003,4.046697894105931,0.04273029980539178,1.4239883160007554,0.10421231493930194,-2.2741594707013943
0.4,4.046667195629974,0.042699601329434955,1.4208624126558769,0.10251961807783938,-2.2598005431152894
0.45,4.046679851735694,0.04271225743515483,1.4189042558961524,0.10124772673200377,-2.2508217680855624
0.5,4.046737750141845,0.04277015584130606,1.418085656302803,0.10037863562646887,-2.2470718973888446
0.55,4.046844519008802,0.04287692470826343,1.4184079376015772,0.09990849828833537,-2.2485479569720437
0.6000000000000001,4.047005842716463,0.04303824841592441,1.419902858928171,0.09984808087011143,-2.255399135165615
0.65,4.047229974770075,0.04326238046953623,1.4226358558538714,0.10022437636193837,-2.267943032997166
0.7000000000000001,4.04752853691902,0.04356094261848131,1.4267121852354576,0.10108361283743239,-2.286697371320165
0.75,4.047917758075336,0.04395016377479699,1.4322871122060066,0.10249611197553476,-2.3124333215378705
0.8,4.048420422929489,0.04445282862895006,1.4395822158738847,0.104563809214955,-2.3462618510353375
0.8500000000000001,4.049069021696478,0.04510142739593892,1.4489116358592768,0.1074318893633206,-2.3897742540481395
0.9,4.049911039677983,0.04594344537744455,1.4607256027807944,0.11130729566398778,-2.4452779078177347
0.9500000000000001,4.0510182907357315,0.04705069643519266,1.4756863263447988,0.11648985449190796,-2.516212251467409
1.0,4.0525044568505635,0.04853686255002465,1.4948100564197868,0.1234295571031021,-2.607937439249844
