MATCH_K,ATE_hat,|ATE_err|,sqrt_PEHE,sqrt_PEHE_CIhalf,ITE_R2
1,4.368361384958931,0.36439379065839184,1.748772156964445,0.09884133337094547,-3.9380267316162616
2,4.1614656850228,0.15749809072226117,1.3441024534921695,0.08078150787053096,-1.917102733408873
3,4.0545951180816955,0.05062752378115665,1.186310310701998,0.07088451059622769,-1.2723937525690459
4,3.979859035325219,0.024108558975319827,1.0574790215072172,0.06761223738736932,-0.8056372165149042
5,3.892296774924126,0.11167081937641266,0.9966695639357955,0.06696409187018848,-0.6039446182247996
6,3.9273194698092397,0.0766481244912991,0.9531305683729734,0.06277424821740385,-0.46687049465177544
7,3.967949906256086,0.03601768804445271,0.91788322547242,0.062327758844244685,-0.3603850253246348
8,4.006525792207128,0.002558197906589399,0.8955776982437044,0.06658825425674697,-0.29507081635946597
9,3.991999104644939,0.011968489655600045,0.8887469105301314,0.06351565473238874,-0.27539052017127363
10,3.974485437656017,0.02948215664452203,0.8779672609519226,0.0650566742725408,-0.2446396144085239
11,3.9993487063230218,0.004618887977517083,0.8680643496809036,0.06605508735206289,-0.2167204789147854
12,4.006385402575826,0.0024178082752870367,0.8563159240898679,0.06699534299872512,-0.18400903662256152
13,4.015148696877427,0.01118110257688798,0.8476627722755856,0.06919387482198092,-0.16020089701457074
14,4.012232165543095,0.008264571242555974,0.8381913363772407,0.06991876722047086,-0.1344185298076399
15,4.025854551667315,0.02188695736677637,0.8240276428358313,0.07022054083777807,-0.09640381517491581
16,4.070196890832345,0.06622929653180609,0.824087560479114,0.07130527206215109,-0.09656326691581052
17,4.06003788786699,0.05607029356645121,0.8161568544461458,0.072842270735472,-0.07555900639170487
18,4.073365227523218,0.06939763322267911,0.8170745896139058,0.07405878810696587,-0.07797921099940752
19,4.07295408172058,0.06898648742004099,0.8139404237694119,0.07291288049012645,-0.06972516454716504
20,4.063683968559542,0.059716374259003224,0.808508545371048,0.07224458036217407,-0.05549506096622392
